Model,Accent,Sample Index,Reference,Base Hypothesis,Prompted Hypothesis,Base WER (%),Prompted WER (%),Base SER (%),Prompted SER (%),SER Reduction (Δ%),Base DER (%),Prompted DER (%),Base IER (%),Prompted IER (%)
Whisper tiny,Singaporean,46,Privatisations have always been controversial in Ireland.,"For our organizations that always in country of usher and Ireland,",The English conversation is an English conversation is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is spoken with a Singaporean accent is,128.57,5257.14,71.43,100.0,-40.0,0.0,0.0,57.14,5157.14
Whisper tiny,Singaporean,47,Bock's description of oak apples is noted in the entomologists data base.,Box description of OCAPOS is noted in the Entomologist database.,The English translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is a language translation is,50.0,3558.33,33.33,91.67,-175.0,16.67,0.0,0.0,3466.67
Whisper tiny,Singaporean,48,There are two Confederate dead interred in the cemetery.,There are two Confederate dead in third in the cemetery.,There are two confederate dates in the cemetery.,22.22,22.22,11.11,11.11,0.0,0.0,11.11,11.11,0.0
Whisper tiny,Singaporean,49,"The programme caused a controversy for allegedly featuring distasteful, sexist, offending and humiliating content.","The program calls the controversy for a larger e-fetrain to stay true, sets of the link in the humiliating content.",The program calls the controversy for a,107.14,78.57,64.29,28.57,55.56,0.0,50.0,42.86,0.0
Whisper tiny,Singaporean,50,"In style and manner of expression, he is thoroughly French.","It's tall and men of expression here, it's a sorely French.",The French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent,70.0,1450.0,60.0,80.0,-33.33,0.0,0.0,10.0,1370.0
Whisper tiny,Singaporean,51,"When that store opened, there were stores in New York, Chicago, Washington and Paris.","When that store opened, you will restore the New York Chicago Washington and Paris.","When that's often, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was spoken, when it was",28.57,1264.29,28.57,92.86,-225.0,0.0,0.0,0.0,1171.43
Whisper tiny,Singaporean,52,He also spent seasons performing with Prospect Theatre Company and the Royal National Theatre.,He also spent seasons performing with respect to the company and the Royal National Theatre.,The,21.43,92.86,14.29,0.0,100.0,0.0,92.86,7.14,0.0
Whisper tiny,Singaporean,53,This provided the first open architecture for a multi-server chassis.,This provided the first open architecture for a multi-server chassis.,This is the first open architecture for a,0.0,30.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0
Whisper tiny,Singaporean,54,The signal is 'buffered from' load currents.,These acknowledge butthead from low currents.,The English translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is,71.43,6085.71,57.14,71.43,-25.0,14.29,0.0,0.0,6014.29
Whisper tiny,Singaporean,55,She has since gained control through training and maturity.,She has since again control through training and maturity.,She has since again control through training and maturity.,11.11,11.11,11.11,11.11,0.0,0.0,0.0,0.0,0.0
Whisper tiny,Singaporean,56,"The aircraft is operated by many private individuals, companies and flying clubs.","The aircraft is operated by many private individuals, companies and flying clubs.","The aircraft is operated by many private individuals, companies and flying clubs,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whisper tiny,Singaporean,57,"Under international funding, the temple has undergone many changes, both structurally and internally.","Under international funding, the tempo is undergone many changes both structurally and thoroughly.",The English translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is,23.08,3292.31,23.08,100.0,-333.33,0.0,0.0,0.0,3192.31
Whisper tiny,Singaporean,58,Normally such paper towels are two-ply.,"Normally, you can buy a new one.",The English translation is a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with,100.0,7133.33,83.33,100.0,-20.0,0.0,0.0,16.67,7033.33
Whisper tiny,Singaporean,59,"As a two-box design, the body style includes an A, B and C-pillar.","S-2 Box design, the body is starting to include an A, B and C pillar.",The English translation is a,69.23,84.62,38.46,23.08,40.0,7.69,61.54,23.08,0.0
Whisper tiny,Singaporean,60,Many deploy broad blocks of harmoniously arranged colour and are symbolic rather than narratival.,Many deploy bright blocks of harmonious steel wrench color in our symbolic rather than narrative old.,Many deploy bright blocks of harmonious theoretical range of color and symbolic rather than narrative.,64.29,57.14,50.0,35.71,28.57,0.0,7.14,14.29,14.29
Whisper tiny,Singaporean,61,"He also provided the voicing for several characters in the videogame ""Discworld"".",He also provided the voicing for several characters in the video game Disquave.,He also provided the voice for several characters in the video game discworld.,25.0,25.0,16.67,16.67,0.0,0.0,0.0,8.33,8.33
Whisper tiny,Singaporean,62,This is also used at other points where lanes merge.,"This is also used at other points, relains much.","This is also used in other points, which is a French accent.",30.0,60.0,20.0,40.0,-100.0,10.0,0.0,0.0,20.0
Whisper tiny,Singaporean,63,The unincorporated community of Indian Heights is located in the town.,The earning-corporated community of Indian heights is located in this town.,The,18.18,90.91,18.18,0.0,100.0,0.0,90.91,0.0,0.0
Whisper tiny,Singaporean,64,"Parker attended Union Theological Seminary, and became an ordained Christian minister.","Parker, the end of the world's first war, started in the early 19th century.",The,118.18,100.0,90.91,9.09,90.0,0.0,90.91,27.27,0.0
Whisper tiny,Singaporean,65,He was married to the soprano Teresina Brambilla.,He was married to the soprano Taricina Brambella.,The French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is,25.0,5350.0,25.0,100.0,-300.0,0.0,0.0,0.0,5250.0
Whisper tiny,Singaporean,66,"Initially benefits were paid weekly, in cash, at the Employment Exchange.",Initially benefit to paint weekly in cash at the employment exchange.,"Initially, it is a French accent is a French accent is a French accent is a French accent.",27.27,154.55,27.27,90.91,-233.33,0.0,0.0,0.0,63.64
Whisper tiny,Singaporean,67,"As a result, the British attack was disordered and confused.","As a result, the British attack was disorder and confused.","As a result, the British attack was this order and confused.",10.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0
Whisper tiny,Singaporean,68,Brady also threw for two touchdowns and an interception.,Brady also true for two such nouns in an interception.,Thank you for your attention.,44.44,88.89,33.33,44.44,-33.33,0.0,44.44,11.11,0.0
Whisper tiny,Singaporean,69,His childhood was marred by difficult circumstances.,His childhood was marked by difficult circumstances.,The English translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is,14.29,6114.29,14.29,100.0,-600.0,0.0,0.0,0.0,6014.29
Whisper tiny,Singaporean,70,Regular textbooks are transcribed into Braille and distributed throughout the United States.,Regular textbooks have transcribed and grail and distributed throughout the United States.,The English translation is a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with a language spoken with,25.0,3566.67,25.0,100.0,-300.0,0.0,0.0,0.0,3466.67
Whisper tiny,Singaporean,71,Cancelled projects are in italics.,Cancel projects and analytics?,Cancel projects and I,80.0,80.0,60.0,60.0,0.0,20.0,20.0,0.0,0.0
Whisper tiny,Singaporean,72,"This process is known as ""electron-hole pair generation"".",This process is known as electron-haul pair generation.,This process is known as a French accent is known as a French accent is known as a French accent,12.5,187.5,12.5,37.5,-200.0,0.0,0.0,0.0,150.0
Whisper tiny,Singaporean,73,Dedicoat also works as an after dinner speaker.,The record also works as an after-dinner speaker.,The record also works as an afternoon speaker.,50.0,50.0,25.0,25.0,0.0,12.5,12.5,12.5,12.5
Whisper tiny,Singaporean,74,A significant exception is some forms of the domino logic family.,A significant exception is some forms of the domino logic family.,A significant exception is some forms the,0.0,36.36,0.0,0.0,0.0,0.0,36.36,0.0,0.0
Whisper tiny,Singaporean,75,This gave Opeth three weeks to rehearse and perfect the recording in the studio.,This gave over 3 weeks to rehearse and perfect the recording in this studio.,This gave open three weeks to re-hears,21.43,64.29,21.43,14.29,33.33,0.0,50.0,0.0,0.0
Whisper tiny,Singaporean,76,Duke Lukela in selected episodes.,"Duke, Yukaila, and selected episodes.",Thank you.,40.0,100.0,40.0,40.0,0.0,0.0,60.0,0.0,0.0
Whisper tiny,Singaporean,77,Criminal mischief is usually a misdemeanor.,I'm going to make a mistake if you're going to be a millionaire.,The English translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is,200.0,7100.0,83.33,66.67,20.0,0.0,0.0,116.67,7033.33
Whisper tiny,Singaporean,78,Munich Reinsurance America is a subsidiary of Munich Re.,Uniquely and showance America is a subsidiary of Uniquely,The,55.56,100.0,33.33,11.11,66.67,11.11,88.89,11.11,0.0
Whisper tiny,Singaporean,79,Trenches were dug across the surrounding area to prevent an airborne attack.,Trenches would dug across the surrounding area to prevent an air bon attack.,The French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent,25.0,1791.67,16.67,100.0,-500.0,0.0,0.0,8.33,1691.67
Whisper tiny,Singaporean,80,"In all other circumstances, a military award should be considered.","In all other circumstances, military watch should be considered.","In all other circumstances, military or should be considered.",20.0,20.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0
Whisper tiny,Singaporean,81,"As a result, many research projects in the university are funded by industrial companies.","As a result, many research projects in the University are funded by industrial companies.","As a result, many of these projects in the University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of Singaporean University of",0.0,2250.0,0.0,42.86,0.0,0.0,0.0,0.0,2207.14
Whisper tiny,Singaporean,82,"Homie, as it stands now, was a one-time effort.","Omie is at Sends now, was a one time effort.",The English accent is a French accent is a French accent is a French accent is a French accent.,66.67,200.0,55.56,88.89,-60.0,0.0,0.0,11.11,111.11
Whisper tiny,Singaporean,83,The Chuckwalla Range is divided from the Little Chuckwalla Range by Graham Pass.,The chocolate ranger is divided from the little chocolate ranger by grey and pass.,The Czech-wala range is divided from the little Czech-wala range by the Greek language.,46.15,38.46,38.46,30.77,20.0,0.0,0.0,7.69,7.69
Whisper tiny,Singaporean,84,The Pussycat Dolls.,The pussycat dolls,The,0.0,66.67,0.0,0.0,0.0,0.0,66.67,0.0,0.0
Whisper tiny,Singaporean,85,Popular control during this era of orthodoxy was maintained through various means.,Popular control during this era of orthodoxy does maintain true various means.,The,25.0,100.0,25.0,8.33,66.67,0.0,91.67,0.0,0.0
Whisper tiny,Singaporean,86,In the Bill we drop that provision in regard to the trial altogether.,In the bill we chop that provision in regard to the trial altogether.,In the,7.69,84.62,7.69,0.0,100.0,0.0,84.62,0.0,0.0
Whisper tiny,Singaporean,87,Modern shopping malls are scattered in the city.,Modern shopping malls are scattered in the city.,The English,0.0,87.5,0.0,12.5,0.0,0.0,75.0,0.0,0.0
Whisper tiny,Singaporean,88,It is typically formed when two glaciers erode parallel U-shaped valleys.,"The stability formed when two glaciers erode parallel, u-shaped valleys.",The European accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is a French accent is,27.27,3881.82,18.18,90.91,-400.0,9.09,0.0,0.0,3790.91
Whisper tiny,Singaporean,89,"For the remainder of Quinn's tenure as Bosox owner, the team was severely underfinanced.","For the remainder, Queen's tenure as bowshocks owner, the team was severely under-financed.",The English translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is,21.43,3057.14,14.29,100.0,-600.0,7.14,0.0,0.0,2957.14
Whisper tiny,Singaporean,90,Symmetry given assumes all faces are the same color.,Symmetry given assumes all faces are the same colour.,The same,11.11,77.78,11.11,0.0,100.0,0.0,77.78,0.0,0.0
Whisper tiny,Singaporean,91,"One confirmed vector of the virus is the phlebotomine sand fly ""Lutzomyia shannoni"".","One confirmed factor of the virus at the Lebotamine Center fly, Lithuania, Shannoni.",The English translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is a French translation is,38.46,3284.62,38.46,92.31,-140.0,0.0,0.0,0.0,3192.31
